student_id,age,gender,study_hours,attendance_pct,previous_marks,assignment_score,internal_assessment,midterm_marks,sleep_hours,final_score
STU0199,19,Female,4.0,96.0,81.7,46.8,66.6,88.2,6.3,67.4
STU0200,22,Male,9.1,58.8,80.0,58.0,73.7,83.6,5.1,63.7
STU0201,17,Male,8.0,60.7,66.6,62.1,90.9,57.5,7.0,61.4
STU0202,20,Female,3.4,50.7,78.2,67.0,66.6,48.9,6.9,59.6
STU0203,17,Female,6.8,50.7,70.4,58.3,95.1,79.1,5.6,69.2
STU0204,22,Male,6.4,91.5,51.9,56.2,66.4,53.3,8.1,52.2
STU0205,17,Female,4.6,86.6,51.5,97.5,72.9,45.6,7.0,62.8
STU0206,18,Male,4.3,67.8,56.3,95.5,87.8,82.2,6.4,73.1
STU0207,20,Male,4.1,84.9,90.1,47.6,75.0,53.8,5.6,63.2
STU0208,20,Male,6.6,69.8,70.1,63.6,97.6,89.9,7.2,75.6
STU0209,22,Male,5.0,97.6,80.4,67.3,79.6,85.4,8.0,74.5
STU0210,18,Male,8.5,98.4,59.1,58.1,71.4,85.9,6.1,53.5
STU0211,19,Female,7.0,69.6,62.4,79.6,41.4,81.3,5.9,58.0
STU0212,17,Male,1.6,92.7,46.9,80.2,64.8,87.9,7.1,59.1
STU0213,21,Male,6.8,88.7,49.4,91.8,58.0,83.3,5.6,64.3
STU0214,17,Female,3.4,65.5,85.5,85.7,84.9,71.2,7.7,73.1
STU0215,17,Male,6.3,61.6,72.2,74.8,52.5,52.7,7.4,57.8
STU0216,19,Female,7.1,72.9,58.6,80.9,52.3,88.3,5.3,65.2
STU0217,17,Female,3.1,89.1,84.2,60.1,51.4,85.4,5.1,61.7
STU0218,18,Female,5.1,98.0,53.6,77.6,47.5,63.4,7.5,55.3
STU0219,18,Male,2.7,88.2,93.7,71.9,58.7,37.3,6.2,65.0
STU0220,20,Male,1.5,92.8,59.0,52.3,93.2,73.3,5.3,65.9
STU0221,22,Male,4.4,80.2,58.6,58.3,86.5,38.0,8.0,51.4
STU0222,21,Female,4.3,91.8,57.2,61.0,84.1,90.6,6.3,65.4
STU0223,17,Male,10.0,89.2,46.7,95.8,87.8,92.7,6.8,73.9
STU0224,17,Female,5.0,68.8,46.1,57.7,56.2,46.4,5.9,48.8
STU0225,19,Male,4.0,77.6,75.6,60.9,93.2,75.6,7.5,69.3
STU0226,22,Female,6.2,90.2,88.1,65.3,48.2,40.5,6.2,54.2
STU0227,18,Male,1.8,52.3,83.5,81.5,60.2,78.8,8.9,68.5
STU0228,21,Male,9.7,90.4,47.8,51.5,75.2,55.8,7.8,50.4
STU0229,20,Male,6.7,58.9,70.0,97.5,46.2,75.9,5.5,68.0
STU0230,18,Female,7.8,75.7,45.8,92.6,83.8,57.4,6.7,69.2
STU0231,22,Female,2.5,90.4,42.5,76.7,63.2,43.7,6.5,52.1
STU0232,20,Male,4.7,62.7,76.1,82.1,87.1,59.4,7.1,69.1
STU0233,19,Male,4.8,62.3,69.4,45.9,69.6,41.8,8.4,55.8
STU0234,19,Female,8.4,70.1,44.5,63.6,50.9,69.6,7.3,54.1
STU0235,17,Female,1.0,94.7,41.9,88.8,84.1,37.5,5.2,56.1
STU0236,22,Female,3.7,50.0,94.4,49.3,55.1,66.6,7.6,61.0
STU0237,21,Male,9.8,95.1,41.7,60.5,69.4,88.2,5.0,57.2
STU0238,20,Female,5.3,57.7,64.4,77.2,44.5,85.3,8.1,61.0
STU0239,18,Male,4.4,99.5,67.8,59.1,77.1,88.0,7.7,67.2
STU0240,22,Female,2.1,97.7,46.5,96.4,80.0,90.3,6.2,66.9
STU0241,22,Male,9.8,74.7,49.3,52.2,62.7,41.3,6.2,44.9
STU0242,19,Female,1.2,75.6,59.3,88.9,97.3,42.7,8.2,61.7
STU0243,17,Female,7.6,74.1,81.9,72.9,92.5,68.4,8.1,74.2
STU0244,17,Female,7.9,81.8,67.9,86.3,82.5,88.6,6.4,73.7
STU0245,20,Female,3.2,54.5,75.1,62.1,82.8,93.5,6.2,70.8
STU0246,19,Female,7.0,51.6,94.2,73.3,55.1,37.8,7.2,62.0
STU0247,22,Male,1.8,52.9,82.2,92.1,79.4,56.3,5.0,67.6
STU0248,21,Female,3.3,72.2,63.9,70.7,51.9,47.8,5.3,49.9
STU0249,19,Female,8.1,63.8,64.6,64.8,48.6,80.4,5.5,59.3
STU0250,20,Female,8.8,81.1,74.0,74.5,100.0,73.4,5.7,69.2
STU0251,20,Male,6.5,99.6,76.6,84.5,77.3,42.2,7.0,64.0
STU0252,19,Female,5.6,69.3,67.5,69.4,65.9,64.0,9.0,68.3
STU0253,20,Male,2.4,78.7,75.5,96.6,57.3,76.1,7.6,64.1
STU0254,19,Female,1.6,70.8,41.3,61.2,76.2,81.7,5.2,56.9
STU0255,18,Female,2.1,92.4,63.6,71.2,43.0,36.2,7.1,42.1
STU0256,19,Male,3.0,95.1,55.3,86.6,45.7,88.4,7.0,60.0
STU0257,19,Female,4.1,93.9,47.1,82.9,42.0,69.2,5.6,59.2
STU0258,20,Male,4.4,98.7,45.5,92.5,70.0,83.7,8.7,66.2
STU0259,20,Male,4.1,51.4,73.2,99.8,76.0,83.5,6.8,72.7
STU0260,17,Female,3.2,92.0,68.8,68.5,43.7,46.4,9.0,58.1
STU0261,17,Male,5.6,87.6,53.9,51.1,83.3,41.6,6.7,48.5
STU0262,18,Female,8.4,61.4,65.9,46.7,53.8,78.3,7.4,57.5
STU0263,17,Female,3.5,97.8,67.1,85.0,81.1,44.4,5.4,63.6
STU0264,19,Male,9.5,57.4,50.7,93.1,98.9,86.0,6.8,73.9
STU0265,20,Male,8.9,84.0,75.9,57.1,81.5,78.6,6.0,70.2
STU0266,17,Male,2.5,61.2,83.0,53.7,93.0,85.5,8.3,68.7
STU0267,17,Male,8.1,71.6,83.5,48.4,96.9,52.9,8.1,67.5
STU0268,18,Female,6.2,86.0,73.1,90.2,69.2,54.0,8.3,65.9
STU0269,22,Female,6.1,78.2,68.1,62.1,82.1,75.3,7.9,63.3
STU0270,18,Male,4.5,71.4,43.4,67.1,91.1,36.9,8.3,60.9
STU0271,19,Female,5.5,66.3,55.8,72.7,61.4,78.6,5.8,59.8
STU0272,20,Female,4.6,92.0,45.1,91.2,55.7,85.1,6.8,60.7
STU0273,18,Female,5.9,57.2,93.0,80.8,96.8,59.9,7.8,73.4
STU0274,17,Female,6.7,71.5,47.4,78.8,83.6,80.9,7.5,65.2
STU0275,20,Male,7.1,95.2,48.3,54.7,53.2,45.5,7.9,53.5
STU0276,20,Male,5.8,92.3,88.9,73.2,66.9,54.3,5.9,64.6
STU0277,17,Female,7.5,70.0,91.9,84.3,87.8,93.5,5.4,83.2
STU0278,18,Male,2.3,88.2,82.1,98.5,72.8,94.2,8.7,80.5
STU0279,17,Male,2.9,91.2,40.3,56.1,79.0,65.8,7.2,54.1
STU0280,22,Male,8.4,94.4,40.1,45.5,85.2,91.1,5.6,58.7
STU0281,20,Female,3.9,77.2,60.8,49.1,77.3,66.4,8.2,59.6
STU0282,21,Female,1.2,60.2,47.9,65.7,72.4,52.5,8.7,53.2
STU0283,21,Female,2.4,62.8,41.0,90.1,85.0,51.0,5.7,59.1
STU0284,19,Male,3.0,64.8,65.5,45.4,83.7,90.8,8.3,67.8
STU0285,17,Female,9.6,79.7,91.9,70.1,77.8,45.3,8.7,66.7
STU0286,17,Female,6.2,51.6,57.8,63.1,61.6,69.8,8.8,61.0
STU0287,19,Male,9.4,81.8,76.4,47.9,64.3,68.3,8.7,59.5
STU0288,19,Female,6.2,68.2,75.9,69.8,98.2,79.4,7.2,70.3
STU0289,19,Female,5.3,64.8,53.8,59.0,46.7,65.0,6.4,40.4
STU0290,20,Male,3.8,94.0,75.8,64.4,56.1,51.3,5.0,51.2
STU0291,22,Male,6.5,73.0,51.7,83.8,69.5,45.2,5.2,52.1
STU0292,17,Male,2.3,54.8,46.7,73.7,90.2,72.2,6.7,64.5
STU0293,20,Female,9.1,91.3,78.6,51.9,49.8,78.1,6.6,56.6
STU0294,19,Female,8.5,52.4,46.2,97.9,56.6,69.2,5.7,54.5
STU0295,17,Female,3.9,86.3,94.8,80.0,43.9,79.3,6.6,66.7
STU0296,20,Male,9.6,88.7,50.1,87.1,82.4,43.5,5.7,57.4
STU0297,22,Male,8.4,67.6,72.7,49.4,54.3,87.9,8.4,61.9
STU0298,20,Female,7.0,91.2,62.6,47.6,63.3,69.9,6.2,57.3
STU0299,22,Female,2.1,75.8,47.0,46.1,66.6,42.6,7.4,48.1
STU0300,19,Male,5.3,73.2,41.5,55.4,93.5,62.7,7.0,50.5
STU0301,22,Male,5.6,52.3,74.3,67.8,64.7,85.7,5.2,66.4
STU0302,17,Male,3.1,64.5,84.4,96.5,48.7,88.9,8.8,70.5
STU0303,19,Male,1.7,96.6,86.3,70.1,71.5,50.9,7.1,60.2
STU0304,17,Female,8.0,69.6,66.5,61.0,97.8,77.7,6.3,63.6
STU0305,21,Male,2.1,77.3,82.8,75.9,76.5,41.0,5.6,63.2
STU0306,18,Female,6.3,76.6,77.0,51.2,99.0,37.0,6.4,65.8
STU0307,22,Female,9.4,79.5,79.8,78.5,90.5,68.6,5.1,65.7
STU0308,18,Female,8.9,53.1,67.1,76.3,42.2,76.7,6.5,56.8
STU0309,18,Male,3.5,68.1,74.8,88.6,79.5,82.7,7.1,73.8
STU0310,22,Male,8.7,86.2,84.3,99.3,57.2,55.4,8.5,71.0
STU0311,19,Male,1.0,60.0,61.9,58.8,73.6,35.4,7.7,51.9
STU0312,21,Male,1.2,60.2,84.3,73.0,56.8,63.8,5.4,68.6
STU0313,17,Female,6.4,50.5,72.6,95.0,60.9,36.0,5.6,55.1
STU0314,20,Male,4.3,71.9,49.1,88.2,95.4,40.5,6.7,56.5
STU0315,17,Male,4.5,94.1,41.4,71.8,52.4,54.6,5.8,52.5
STU0316,20,Female,6.1,52.6,60.0,97.0,92.4,61.2,5.1,63.6
STU0317,17,Male,2.7,59.6,70.1,48.1,41.8,51.8,8.2,49.7
STU0318,22,Female,2.9,65.5,86.2,96.2,45.5,69.9,5.1,65.7
STU0319,21,Female,5.4,86.6,47.0,47.8,91.3,38.3,8.3,49.9
STU0320,20,Female,7.8,82.0,84.0,75.1,77.8,43.7,5.6,64.1
STU0321,19,Female,6.6,70.8,87.5,94.0,84.8,76.7,8.9,74.3
STU0322,17,Female,3.7,88.0,48.3,59.4,52.6,43.5,7.4,45.4
STU0323,17,Female,4.9,80.5,86.8,71.0,72.2,73.4,7.9,69.4
STU0324,20,Female,2.5,94.8,94.5,62.8,84.2,38.3,5.4,64.0
STU0325,19,Female,1.7,90.9,80.0,97.4,77.6,59.4,8.4,69.3
STU0326,19,Male,8.0,62.6,83.2,90.3,68.3,45.6,8.4,67.0
STU0327,22,Male,3.4,63.6,94.7,84.0,97.6,41.6,7.6,78.7
STU0328,22,Male,2.6,56.3,73.3,77.3,80.6,69.0,7.0,67.3
STU0329,22,Male,7.2,66.8,56.9,90.1,94.5,90.7,7.9,77.5
STU0330,22,Female,6.6,100.0,86.1,66.6,83.8,38.3,5.0,61.5
